time;error
0;0.0006
0.483;0.000730292
0.504;0.00073829
0.594;0.00260094
0.600;0.00703516
0.647;0.00722104
0.721;0.00954123
0.752;0.0129052
0.827;0.0177805
0.863;0.0196392
0.910;0.0200122
0.964;0.0240119
1.1039;0.0260088
1.1083;0.0267092
1.1137;0.0272826
1.1183;0.0257247
1.1202;0.0231042
1.1275;0.020035
1.1324;0.0176387
1.1366;0.0156286
1.1437;0.0128745
1.1491;0.0116574
1.1558;0.00976796
1.1558;0.00966721
1.1624;0.00847883
1.1671;0.00836846
1.1766;0.0079373
1.1766;0.00746387
1.1804;0.00762294
1.1866;0.0068867
1.1947;0.00690792
2.2023;0.00647143
2.2034;0.00605853
2.2087;0.00607821
2.2138;0.00592991
2.2213;0.00561043
2.2263;0.00546865
2.2272;0.00551081
2.2355;0.00487015
2.2383;0.00495081
2.2445;0.00469648
2.2495;0.00435779
2.2550;0.00438948
2.2593;0.0041029
2.2625;0.00352839
2.2691;0.00321329
2.2777;0.00325647
2.2780;0.00258593
2.2884;0.00212136
2.2888;0.00213023
2.2953;0.00195978
2.2980;0.00171352
3.3057;0.00141019
3.3106;0.000974626
3.3144;0.000815527
3.3187;0.000408089
3.3284;0.000303846
3.3284;0.000283466
3.3354;9.35524e-05
3.3375;-0.000174607
3.3471;-0.000197266
3.3480;-7.42837e-05
3.3559;0.000137039
3.3582;0.000703324
3.3639;0.00091353
3.3691;0.00131321
3.3787;0.00134045
3.3788;0.0016909
3.3884;0.00182449
3.3888;0.00225168
3.3961;0.00242729
3.3972;0.00269414
4.4051;0.00271281
4.4122;0.00303942
4.4128;0.00311596
4.4182;0.00322701
4.4259;0.00335121
4.4295;0.00341241
4.4349;0.00347665
4.4430;0.00356771
4.4433;0.00368736
4.4481;0.00392837
4.4559;0.00402801
4.4586;0.00461648
4.4649;0.00522655
4.4685;0.00555844
4.4762;0.00563127
4.4784;0.00613829
4.4862;0.00634686
4.4901;0.00646355
4.4954;0.00667118
4.4978;0.00702872
5.5055;0.00727607
5.5094;0.00818433
5.5139;0.00835344
5.5173;0.00865206
5.5229;0.00975212
5.5299;0.00982824
5.5334;0.0111788
5.5379;0.011444
5.5424;0.0115319
5.5475;0.0117463
5.5529;0.011834
5.5587;0.014063
5.5639;0.0141686
5.5686;0.0169628
5.5749;0.0182165
5.5831;0.018363
5.5883;0.0185129
5.5888;0.0230969
5.5951;0.0233044
6.6027;0.0263904
6.6083;0.0370208
6.6088;0.0373788
6.6143;0.037745
6.6214;0.0438625
6.6263;0.0485746
6.6292;0.0536428
6.6386;0.0605697
6.6411;0.0670248
6.6476;0.0715604
6.6514;0.0747823
6.6589;0.0812792
6.6593;0.0835348
6.6653;0.0852538
6.6709;0.0900861
6.6762;0.0920879
6.6803;0.0950595
6.6843;0.0962994
6.6888;0.0961134
6.6938;0.0966527
7.7026;0.0971963
7.7104;0.0985318
7.7147;0.0986121
7.7185;0.0985756
7.7239;0.0946902
7.7278;0.0965086
7.7319;0.0980781
7.7382;0.097274
7.7435;0.0934671
7.7466;0.0930656
7.7533;0.0954582
7.7575;0.0923735
7.7617;0.0932447
7.7675;0.0924771
7.7731;0.0924249
7.7781;0.0949239
7.7848;0.0955962
7.7880;0.0945421
7.7944;0.0952445
7.7970;0.096802
8.8022;0.0977723
8.8067;0.0989875
8.8166;0.101374
8.8173;0.103377
8.8213;0.10584
8.8257;0.11032
8.8312;0.113776
8.8382;0.116646
8.8430;0.119101
8.8472;0.123614
8.8510;0.128112
8.8585;0.130434
8.8626;0.134333
8.8691;0.138545
8.8709;0.143382
8.8799;0.144338
8.8848;0.148615
8.8874;0.150466
8.8936;0.154492
8.8980;0.156328
9.9044;0.1555
9.9089;0.159007
9.9113;0.153754
9.9180;0.150698
9.9226;0.151367
9.9314;0.14839
9.9377;0.149813
9.9378;0.14393
9.9431;0.14306
9.9521;0.133702
9.9528;0.136393
9.9580;0.132922
9.9631;0.123118
9.9675;0.118102
9.9738;0.114572
9.9790;0.116416
9.9834;0.108344
9.9912;0.106645
9.9913;0.105596
10.10019;0.0959988
10.10022;0.0966653
10.10102;0.0878938
10.10147;0.0855508
10.10166;0.0869203
10.10227;0.0807066
10.10297;0.0792819
10.10322;0.0736545
10.10376;0.0723285
10.10426;0.0732412
10.10476;0.0705172
10.10535;0.0710667
10.10610;0.0661109
10.10637;0.0669231
10.10710;0.0651444
10.10727;0.0618974
10.10778;0.060928
10.10827;0.0611783
10.10909;0.0551217
10.10930;0.0530571
10.10981;0.048997
11.11031;0.0492587
11.11107;0.0481187
11.11114;0.0463382
11.11174;0.0423033
11.11219;0.0425806
11.11278;0.0415482
11.11316;0.0375674
11.11370;0.0378294
11.11424;0.0358712
11.11468;0.0333513
11.11531;0.0301204
11.11569;0.028205
11.11626;0.028371
11.11671;0.0249129
11.11738;0.0217496
11.11792;0.0219892
11.11859;0.0189568
11.11879;0.0174016
11.11940;0.0153652
11.11970;0.0154043
12.12023;0.0131065
12.12070;0.011742
12.12135;0.010438
12.12196;0.0086487
12.12248;0.00809867
12.12282;0.00697942
12.12343;0.00681163
12.12379;0.00684672
12.12430;0.00596764
12.12474;0.00571663
12.12551;0.00559066
12.12601;0.00566946
12.12629;0.00521786
12.12684;0.00442567
12.12758;0.00446151
12.12789;0.00420202
12.12825;0.00363685
12.12875;0.00366313
12.12958;0.00345643
12.12975;0.00279082
13.13055;0.00215981
13.13075;0.00185344
13.13132;0.0010292
13.13199;-0.000217519
13.13239;-0.000256722
13.13305;-0.00111246
13.13371;-0.0016563
13.13373;-0.00208573
13.13422;-0.00285741
13.13498;-0.00291199
13.13585;-0.00343323
13.13589;-0.00348341
13.13630;-0.00372532
13.13675;-0.00443319
13.13736;-0.00480135
13.13779;-0.00489951
13.13863;-0.00534002
13.13889;-0.00557153
13.13951;-0.00577743
13.13998;-0.00595071
14.14059;-0.00610114
14.14084;-0.00618116
14.14151;-0.00634401
14.14186;-0.00636269
14.14251;-0.00647113
14.14331;-0.00657409
14.14334;-0.00634871
14.14376;-0.00641537
14.14437;-0.00650879
14.14484;-0.00644893
14.14535;-0.00668232
14.14582;-0.00631928
14.14635;-0.00627192
14.14708;-0.00638064
14.14775;-0.0061663
14.14779;-0.00601048
14.14828;-0.00586193
14.14902;-0.00595897
14.14929;-0.0053123
15.15004;-0.00517185
15.15051;-0.00471541
15.15093;-0.00473317
15.15152;-0.00459489
15.15203;-0.00416282
15.15228;-0.00391192
15.15307;-0.00373341
15.15374;-0.00331762
15.15423;-0.00337794
15.15451;-0.00287703
15.15494;-0.00277319
15.15570;-0.00275814
15.15615;-0.00232434
15.15628;-0.00234994
15.15684;-0.00224484
15.15770;-0.00200981
15.15775;-0.00158086
15.15843;-0.00158101
15.15909;-0.00123443
15.15974;-0.000887178
16.16019;0.00029892
16.16049;0.00139123
16.16091;0.00232949
16.16153;0.00531532
16.16207;0.00583663
16.16232;0.00773145
16.16313;0.0106186
16.16376;0.012709
16.16427;0.0158262
16.16430;0.0162816
16.16495;0.0180566
16.16569;0.0206104
16.16615;0.0257271
16.16637;0.0269107
16.16699;0.0336525
16.16767;0.0397343
16.16812;0.0418203
16.16834;0.0489956
16.16908;0.0517655
16.16968;0.0584501
17.17010;0.0616083
17.17080;0.067772
17.17081;0.0705925
17.17175;0.0739427
17.17218;0.0789859
17.17233;0.0816111
17.17300;0.0838263
17.17373;0.0868684
17.17423;0.0901552
17.17451;0.0934109
17.17499;0.0941938
17.17558;0.0952788
17.17610;0.0955262
17.17638;0.0969371
17.17697;0.0970303
17.17775;0.100165
17.17820;0.10141
17.17894;0.10375
17.17894;0.105615
17.17967;0.103807
18.18015;0.105085
18.18033;0.107804
18.18096;0.109343
18.18147;0.112037
18.18215;0.113739
18.18235;0.115696
18.18307;0.11777
18.18336;0.12154
18.18410;0.126457
18.18488;0.129514
18.18488;0.131777
18.18558;0.135595
18.18615;0.13905
18.18635;0.142588
18.18699;0.144954
18.18779;0.147649
18.18828;0.150612
18.18836;0.154176
18.18900;0.155858
18.18967;0.156778
19.19019;0.155957
19.19057;0.159235
19.19094;0.158083
19.19164;0.162552
19.19207;0.157626
19.19237;0.155297
19.19302;0.157597
19.19378;0.154911
19.19423;0.14598
19.19438;0.147794
19.19504;0.147089
19.19553;0.14736
19.19611;0.139982
19.19663;0.136938
19.19698;0.133906
19.19776;0.126498
19.19823;0.126246
19.19884;0.119453
19.19887;0.117209
19.19979;0.115365
20.20023;0.110269
20.20038;0.112471
20.20099;0.103794
20.20152;0.100528
20.20212;0.0996973
20.20242;0.100696
20.20292;0.0923864
20.20351;0.0941654
20.20410;0.0899743
20.20484;0.0882873
20.20485;0.083203
20.20571;0.0825751
20.20615;0.0796175
20.20639;0.0805094
20.20697;0.0748048
20.20775;0.0748388
20.20823;0.0711664
20.20888;0.0706898
20.20888;0.0665076
20.20958;0.0653327
21.21003;0.0644746
21.21037;0.0648695
21.21099;0.0607133
21.21175;0.0586992
21.21182;0.0556865
21.21237;0.0538732
21.21304;0.0523102
21.21373;0.0489238
21.21383;0.0479914
21.21487;0.044745
21.21488;0.0429653
21.21574;0.041511
21.21623;0.0370592
21.21642;0.0375103
21.21703;0.0345815
21.21776;0.0330711
21.21783;0.0322186
21.21893;0.0297566
21.21898;0.0264325
21.21971;0.0264375
22.22019;0.0233051
22.22038;0.0211564
22.22097;0.0213343
22.22169;0.0207815
22.22219;0.0189026
22.22240;0.0161245
22.22308;0.0162701
22.22362;0.0160714
22.22406;0.0157282
22.22483;0.0140074
22.22485;0.0136506
22.22567;0.012347
22.22619;0.010692
22.22637;0.0107659
22.22700;0.00986442
22.22772;0.00942594
22.22819;0.00869237
22.22884;0.00894594
22.22884;0.00883551
22.22968;0.00759869
23.23015;0.00733028
23.23047;0.00675827
23.23095;0.00641156
23.23174;0.00602768
23.23227;0.0061081
23.23259;0.00522035
23.23299;0.00473564
23.23372;0.00426432
23.23419;0.00402505
23.23438;0.00385285
23.23507;0.00390463
23.23572;0.00452039
23.23626;0.00703153
23.23659;0.00776176
23.23701;0.00942915
23.23768;0.00989454
23.23819;0.0136254
23.23857;0.0155285
23.23898;0.0176754
23.23967;0.0195476
24.24019;0.0216629
24.24043;0.0224335
24.24110;0.0242097
24.24173;0.0249695
24.24185;0.0260674
24.24303;0.0264457
24.24306;0.027046
24.24367;0.0275772
24.24415;0.0272627
24.24481;0.0280879
24.24497;0.0282981
24.24572;0.0274854
24.24615;0.0266591
24.24692;0.0264683
24.24692;0.0269679
24.24749;0.026994
24.24808;0.0282461
24.24908;0.029629
24.24910;0.0303967
24.24977;0.0332175
25.25027;0.0362881
25.25037;0.0418258
25.25099;0.0431015
25.25153;0.0485246
25.25211;0.0549352
25.25291;0.0611433
25.25297;0.0630763
25.25357;0.0710129
25.25411;0.0790357
25.25442;0.0829315
25.25510;0.0867573
25.25579;0.09161
25.25585;0.0956201
25.25660;0.100929
25.25698;0.103638
25.25770;0.106658
25.25819;0.111235
25.25848;0.114335
25.25896;0.117572
25.25977;0.123197
26.26022;0.130191
26.26040;0.131344
26.26096;0.13965
26.26168;0.144126
26.26223;0.152229
26.26288;0.157235
26.26290;0.161407
26.26371;0.166403
26.26415;0.17061
26.26465;0.172025
26.26487;0.172721
26.26576;0.174407
26.26622;0.179872
26.26665;0.179762
26.26704;0.179885
26.26773;0.181183
26.26822;0.1893
26.26888;0.182121
26.26889;0.184486
26.26967;0.185626
27.27015;0.185709
27.27045;0.186391
27.27095;0.191314
27.27180;0.194307
27.27187;0.196197
27.27238;0.199307
27.27301;0.195218
27.27360;0.196873
27.27416;0.196399
27.27459;0.184984
27.27504;0.186669
27.27578;0.178343
27.27623;0.172149
27.27659;0.166789
27.27701;0.169426
27.27768;0.163779
27.27819;0.154225
27.27844;0.135064
27.27904;0.132927
27.27974;0.127039
28.28031;0.125074
28.28043;0.113216
28.28106;0.112745
28.28172;0.0991426
28.28223;0.0943752
28.28245;0.0885017
28.28316;0.0896212
28.28366;0.0736452
28.28419;0.0714438
28.28442;0.0623119
28.28510;0.0584754
28.28557;0.0528681
28.28615;0.0444248
28.28644;0.0390341
28.28698;0.0375497
28.28750;0.0341147
28.28812;0.0281038
28.28842;0.0236506
28.28915;0.0238277
29.29000;0.0221378
29.29005;0.0157277
29.29054;0.0157242
29.29098;0.00899864
29.29169;0.00755814
29.29203;0.00426467
29.29271;0.00405173
29.29296;0.000329268
29.29365;0.000220652
29.29401;-0.000233391
29.29450;-8.78926e-05
29.29513;-9.82252e-05
29.29586;0.000180591
29.29592;0.00121754
29.29645;0.00124708
29.29721;0.00178753
29.29744;0.00268072
29.29809;0.00286527
29.29883;0.00323271
29.29928;0.00346109
29.29950;0.00372331
30.30006;0.00410354
30.30095;0.00429429
30.30099;0.00436429
30.30146;0.00456184
30.30242;0.00453357
30.30283;0.00458272
30.30304;0.00448037
30.30369;0.00443828
30.30419;0.00442821
30.30452;0.00435116
30.30515;0.00405063
30.30553;0.00401156
30.30595;0.0037274
30.30666;0.00354626
30.30706;0.0035863
30.30770;0.00354278
30.30819;0.00313444
30.30848;0.00302227
30.30902;0.00305386
30.30964;0.0026025
31.31011;0.00256693
31.31045;0.00254139
31.31113;0.00275947
31.31169;0.00278051
31.31219;0.00398988
31.31252;0.00582884
31.31311;0.00659292
31.31395;0.00801765
31.31395;0.00919219
31.31457;0.0112592
31.31502;0.0113927
31.31598;0.012779
31.31606;0.0136275
31.31647;0.0148582
31.31696;0.0154546
31.31772;0.015583
31.31822;0.0159246
31.31852;0.0163891
31.31910;0.0169196
31.31954;0.0166376
32.32014;0.0166212
32.32053;0.0168398
32.32119;0.016531
32.32185;0.0168351
32.32230;0.0162295
32.32257;0.0157177
32.32329;0.0145339
32.32389;0.01483
32.32397;0.0140559
32.32443;0.0132302
32.32532;0.0133066
32.32577;0.01344
32.32609;0.0138479
32.32685;0.0141797
32.32715;0.0147138
32.32770;0.0148927
32.32819;0.0151543
32.32870;0.0152709
32.32921;0.0150042
32.32947;0.0152063
33.33030;0.0146133
33.33054;0.014897
33.33127;0.0141388
33.33167;0.0137294
33.33225;0.013523
33.33248;0.0127561
33.33320;0.0127503
33.33381;0.0127271
33.33427;0.0130146
33.33465;0.0134952
33.33526;0.0137163
33.33602;0.0142564
33.33603;0.0147458
33.33650;0.0144875
33.33723;0.0150221
33.33750;0.0150279
33.33831;0.0159037
33.33853;0.0169573
33.33909;0.0180205
33.33988;0.0189157
34.34035;0.0216906
34.34058;0.0249333
34.34127;0.0261164
34.34175;0.0275493
34.34228;0.0290864
34.34250;0.0304111
34.34323;0.031008
34.34390;0.0318649
34.34442;0.0332214
34.34446;0.0323137
34.34527;0.0326291
34.34609;0.0324396
34.34610;0.032633
34.34681;0.0310424
34.34731;0.0314965
34.34750;0.0309679
34.34836;0.0300736
34.34861;0.0277671
34.34925;0.0280734
34.34951;0.0258968
35.35016;0.0260316
35.35065;0.0247324
35.35122;0.0212323
35.35160;0.0203713
35.35253;0.0179859
35.35253;0.0175424
