time;error
0;0.000429861
0.135;0.000529861
0.235;0.000629861
0.321;0.000729861
0.341;0.000733485
0.398;0.0021861
0.442;0.00219848
0.535;0.00684531
0.551;0.00709015
0.622;0.00934997
0.665;0.0125413
0.734;0.0170506
0.736;0.0188767
0.813;0.0191136
0.889;0.0216948
0.895;0.023767
0.949;0.0245733
0.993;0.024752
1.1037;0.0249459
1.1099;0.023564
1.1155;0.0208092
1.1220;0.0184867
1.1265;0.0148612
1.1310;0.0118395
1.1344;0.00956804
1.1405;0.00834802
1.1457;0.00652871
1.1499;0.00548026
1.1562;0.00520149
1.1620;0.00450753
1.1656;0.00437735
1.1733;0.00353544
1.1781;0.00328076
1.1816;0.00285291
1.1872;0.00224019
1.1929;0.00202737
1.1978;0.00151123
2.2016;0.00124984
2.2067;0.000410981
2.2128;0.000279576
2.2174;-0.000295566
2.2216;-0.000652057
2.2263;-0.0011753
2.2324;-0.00137189
2.2378;-0.00159167
2.2410;-0.00175119
2.2449;-0.00149121
2.2530;0.000450519
2.2578;0.000896086
2.2600;0.00203943
2.2695;0.00362931
2.2700;0.00443031
2.2745;0.00456728
2.2835;0.00557008
2.2849;0.00658894
2.2940;0.00761584
2.2945;0.00845196
2.2998;0.00927039
3.3053;0.010649
3.3128;0.0110494
3.3178;0.0125089
3.3203;0.0138751
3.3285;0.0159045
3.3301;0.0172249
3.3366;0.0225007
3.3406;0.0255409
3.3462;0.0365046
3.3551;0.0500941
3.3551;0.0560587
3.3598;0.068837
3.3678;0.0835571
3.3706;0.0964321
3.3756;0.102568
3.3815;0.104974
3.3866;0.10633
3.3915;0.0978442
3.3956;0.0986781
4.4002;0.0912521
4.4051;0.0864985
4.4110;0.0826993
4.4158;0.0800494
4.4220;0.0784746
4.4270;0.0779643
4.4312;0.0792736
4.4372;0.0886441
4.4416;0.0955947
4.4470;0.103314
4.4502;0.115778
4.4553;0.131115
4.4624;0.132363
4.4669;0.141025
4.4726;0.135494
4.4754;0.133469
4.4801;0.127813
4.4865;0.10933
4.4930;0.0964424
4.4971;0.0862632
5.5004;0.0729491
5.5050;0.0589996
5.5140;0.0437034
5.5145;0.034545
5.5220;0.0340411
5.5265;0.0200722
5.5318;0.0148764
5.5356;0.009879
5.5406;0.00721478
5.5477;0.00405517
5.5534;0.00248227
5.5579;0.00133269
5.5610;-0.000124593
5.5662;-0.00181
5.5697;-0.00295701
5.5769;-0.00343685
5.5816;-0.00396554
5.5858;-0.00440573
5.5906;-0.00390915
5.5961;-0.00367808
6.6010;-0.00201734
6.6069;0.000114285
6.6134;0.00163155
6.6148;0.0045675
6.6253;0.00475963
6.6325;0.00710944
6.6385;0.00682224
6.6446;0.00636678
6.6494;0.00604396
6.6506;0.00517691
6.6574;0.00428193
6.6612;0.00343589
6.6703;0.00300639
6.6705;0.00177292
6.6760;0.00109471
6.6833;0.000263267
6.6867;-0.000267889
6.6936;-0.00113237
6.6977;-0.00174439
7.7034;-0.00182342
7.7058;-0.00202677
7.7143;-0.00190753
7.7185;-0.001871
7.7223;-0.00176716
7.7273;-0.00159612
7.7346;-0.00159175
7.7369;-0.00156616
7.7427;-0.000643217
7.7461;0.00146175
7.7562;0.00571766
7.7562;0.0108562
7.7632;0.0170171
7.7674;0.0207976
7.7718;0.0311627
7.7759;0.0463514
7.7851;0.0620822
7.7856;0.0751943
7.7908;0.0809772
7.7959;0.106316
8.8078;0.10765
8.8085;0.118548
8.8129;0.117773
8.8164;0.114418
8.8231;0.114421
8.8262;0.108128
8.8329;0.104234
8.8382;0.102749
8.8424;0.103749
8.8504;0.10772
8.8511;0.113106
8.8561;0.117076
8.8614;0.122531
8.8658;0.120624
8.8736;0.125006
8.8778;0.121564
8.8835;0.11838
8.8860;0.110935
8.8921;0.0993708
8.8969;0.0919586
9.9049;0.0818583
9.9074;0.0718961
9.9138;0.0553372
9.9189;0.0476326
9.9223;0.0403383
9.9269;0.0359753
9.9354;0.0291274
9.9360;0.0250603
9.9453;0.0248916
9.9462;0.0208308
9.9511;0.020344
9.9578;0.0185973
9.9613;0.0183607
9.9702;0.0175718
9.9722;0.017997
9.9788;0.0164232
9.9823;0.0162339
9.9865;0.0153449
9.9943;0.0144421
9.9981;0.0137523
10.10019;0.0131413
10.10065;0.0133676
10.10142;0.0117129
10.10165;0.0114234
10.10218;0.0111872
10.10268;0.01087
10.10341;0.00917603
10.10383;0.00886145
10.10452;0.00716692
10.10466;0.00608342
10.10547;0.00596451
10.10579;0.0100381
10.10655;0.0180124
10.10670;0.0200579
10.10738;0.0261608
10.10770;0.029826
10.10820;0.0333152
10.10892;0.0331251
10.10933;0.0345179
10.10975;0.0311022
11.11055;0.0324539
11.11069;0.0339102
11.11131;0.0440573
11.11169;0.0581262
11.11228;0.0760797
11.11290;0.0799916
